# Generated by tools/schema_codegen.nim; do not edit by hand.
# source_commit	2c0a5ddffb9c9cf9b3a8826454758397a6b4804b
method	path	operation_id	request_schema	response_schema
DELETE	/channels/{channel_id}/pins/{message_id}	deprecated_delete_pin	-	-
GET	/channels/{channel_id}/polls/{message_id}/answers/{answer_id}	get_answer_voters	-	PollAnswerDetailsResponse
POST	/channels/{channel_id}/polls/{message_id}/expire	poll_expire	-	MessageResponse
PUT	/channels/{channel_id}/recipients/{user_id}	add_group_dm_user	object	PrivateChannelResponse | PrivateGroupChannelResponse
DELETE	/channels/{channel_id}/recipients/{user_id}	delete_group_dm_user	-	-
POST	/channels/{channel_id}/send-soundboard-sound	send_soundboard_sound	SoundboardSoundSendRequest	-
GET	/channels/{channel_id}/thread-members	list_thread_members	-	seq[ThreadMemberResponse]
PUT	/channels/{channel_id}/thread-members/@me	join_thread	-	-
DELETE	/channels/{channel_id}/thread-members/@me	leave_thread	-	-
GET	/channels/{channel_id}/thread-members/{user_id}	get_thread_member	-	ThreadMemberResponse
PUT	/channels/{channel_id}/thread-members/{user_id}	add_thread_member	-	-
DELETE	/channels/{channel_id}/thread-members/{user_id}	delete_thread_member	-	-
POST	/channels/{channel_id}/threads	create_thread	CreateForumThreadRequest | CreateTextThreadWithoutMessageRequest	CreatedThreadResponse
GET	/channels/{channel_id}/threads/archived/private	list_private_archived_threads	-	ThreadsResponse
GET	/channels/{channel_id}/threads/archived/public	list_public_archived_threads	-	ThreadsResponse
GET	/channels/{channel_id}/threads/search	thread_search	-	ThreadSearchResponse
POST	/channels/{channel_id}/typing	trigger_typing_indicator	-	TypingIndicatorResponse
GET	/channels/{channel_id}/users/@me/threads/archived/private	list_my_private_archived_threads	-	ThreadsResponse
PUT	/channels/{channel_id}/voice-status	update_voice_channel_status	object	-
GET	/channels/{channel_id}/webhooks	list_channel_webhooks	-	seq[ApplicationIncomingWebhookResponse | ChannelFollowerWebhookResponse | GuildIncomingWebhookResponse] | null
POST	/channels/{channel_id}/webhooks	create_webhook	object	GuildIncomingWebhookResponse
GET	/gateway	get_gateway	-	GatewayResponse
GET	/gateway/bot	get_bot_gateway	-	GatewayBotResponse
GET	/guilds/templates/{code}	get_guild_template	-	GuildTemplateResponse
GET	/guilds/{guild_id}	get_guild	-	GuildWithCountsResponse
PATCH	/guilds/{guild_id}	update_guild	GuildPatchRequestPartial	GuildResponse
GET	/guilds/{guild_id}/audit-logs	list_guild_audit_log_entries	-	GuildAuditLogResponse
GET	/guilds/{guild_id}/auto-moderation/rules	list_auto_moderation_rules	-	seq[DefaultKeywordRuleResponse | KeywordRuleResponse | MLSpamRuleResponse | MentionSpamRuleResponse | UserProfileRuleResponse | null] | null
POST	/guilds/{guild_id}/auto-moderation/rules	create_auto_moderation_rule	DefaultKeywordListUpsertRequest | KeywordUpsertRequest | MLSpamUpsertRequest | MentionSpamUpsertRequest | UserProfileUpsertRequest	DefaultKeywordRuleResponse | KeywordRuleResponse | MLSpamRuleResponse | MentionSpamRuleResponse | UserProfileRuleResponse
GET	/guilds/{guild_id}/auto-moderation/rules/{rule_id}	get_auto_moderation_rule	-	DefaultKeywordRuleResponse | KeywordRuleResponse | MLSpamRuleResponse | MentionSpamRuleResponse | UserProfileRuleResponse
PATCH	/guilds/{guild_id}/auto-moderation/rules/{rule_id}	update_auto_moderation_rule	DefaultKeywordListUpsertRequestPartial | KeywordUpsertRequestPartial | MLSpamUpsertRequestPartial | MentionSpamUpsertRequestPartial | UserProfileUpsertRequestPartial	DefaultKeywordRuleResponse | KeywordRuleResponse | MLSpamRuleResponse | MentionSpamRuleResponse | UserProfileRuleResponse
DELETE	/guilds/{guild_id}/auto-moderation/rules/{rule_id}	delete_auto_moderation_rule	-	-
GET	/guilds/{guild_id}/bans	list_guild_bans	-	seq[GuildBanResponse] | null
GET	/guilds/{guild_id}/bans/{user_id}	get_guild_ban	-	GuildBanResponse
PUT	/guilds/{guild_id}/bans/{user_id}	ban_user_from_guild	BanUserFromGuildRequest	-
DELETE	/guilds/{guild_id}/bans/{user_id}	unban_user_from_guild	UnbanUserFromGuildRequest	-
POST	/guilds/{guild_id}/bulk-ban	bulk_ban_users_from_guild	BulkBanUsersRequest	BulkBanUsersResponse
GET	/guilds/{guild_id}/channels	list_guild_channels	-	seq[GuildChannelResponse | PrivateChannelResponse | PrivateGroupChannelResponse | ThreadResponse] | null
POST	/guilds/{guild_id}/channels	create_guild_channel	CreateGuildChannelRequest	GuildChannelResponse
PATCH	/guilds/{guild_id}/channels	bulk_update_guild_channels	seq[object]	-
GET	/guilds/{guild_id}/emojis	list_guild_emojis	-	seq[EmojiResponse] | null
POST	/guilds/{guild_id}/emojis	create_guild_emoji	object	EmojiResponse
GET	/guilds/{guild_id}/emojis/{emoji_id}	get_guild_emoji	-	EmojiResponse
PATCH	/guilds/{guild_id}/emojis/{emoji_id}	update_guild_emoji	object	EmojiResponse
DELETE	/guilds/{guild_id}/emojis/{emoji_id}	delete_guild_emoji	-	-
PUT	/guilds/{guild_id}/incident-actions	update_guild_incident_actions	GuildIncidentActionsRequest	GuildIncidentsDataResponse
GET	/guilds/{guild_id}/integrations	list_guild_integrations	-	seq[DiscordIntegrationResponse | ExternalConnectionIntegrationResponse | GuildSubscriptionIntegrationResponse] | null
DELETE	/guilds/{guild_id}/integrations/{integration_id}	delete_guild_integration	-	-
GET	/guilds/{guild_id}/invites	list_guild_invites	-	seq[FriendInviteResponse | GroupDMInviteResponse | GuildInviteResponse | null] | null
GET	/guilds/{guild_id}/members	list_guild_members	-	seq[GuildMemberResponse]
PATCH	/guilds/{guild_id}/members/@me	update_my_guild_member	object	PrivateGuildMemberResponse
GET	/guilds/{guild_id}/members/search	search_guild_members	-	seq[GuildMemberResponse]
